i2,i3,phi2_deg,phi3_deg,t_burn_s,period_k,jitter_v_m_s,mean_N1_N,mean_RK4_N,delta_ppm,R_ppm,Q_ppm,liftoff_pct,skew,N_max_N,N_min_N,A_Mg,touchdowns_per_s,stationaer_10s,arch_F_mean,arch_delta_ppm,arch_liftoff,arch_F_skew,arch_F_max,arch_F_min,arch_peak_ratio
0,0,0.0,0.0,5.0,2,0.0006749446998723929,6.376242830677725,6.376498921109482,-40.330796248052636,-0.16919797826032834,-40.16159833083376,75.7885,1.7054826904935432,41.123260492012726,0.0,5.449190071671406,10.0,ja,6.376243,-40.3,75.7885,1.705483,41.123260,0.000000,5.449190
0,1,0.0,18.94736842105263,5.0,2,0.00038145667150280005,6.376509197869494,6.376505049856947,1.4424636544681866,0.7702602303222604,0.6505155723011911,75.8275,1.7066811980582055,41.088547602057375,0.0,5.443746193375264,10.0,ja,6.376413,-13.6,75.8295,1.706682,41.089802,0.000000,5.443943
0,2,0.0,37.89473684210526,5.0,2,0.00028497618686024184,6.376664825029238,6.376493561098068,25.8488244705966,-0.9317100679675288,26.858610706388358,75.9435,1.7104324027699054,40.9600499518599,0.0,5.423594440815478,10.0,ja,6.376550,7.8,75.9445,1.710461,40.960831,0.000000,5.423717
0,3,0.0,56.84210526315789,5.4,2,0.00037932644908689195,6.3766836546667225,6.37653940613686,28.80179827829442,6.149537701181947,22.6218975711076,76.142,1.7172066636533525,40.62922837404747,0.0,5.371713067364144,10.0,ja,6.376622,19.1,76.1435,1.717237,40.628832,0.000000,5.371651
0,4,0.0,75.78947368421052,5.0,1,0.00044570501937013507,6.3765284108039415,6.376500242861906,4.4555483322448834,0.02073668881358547,4.417461308829384,76.1265,1.7147650588505696,39.92319301159151,0.0,5.260988475118247,10.0,ja,6.376655,24.3,76.1290,1.714767,39.921880,0.000000,5.260783
0,5,0.0,94.73684210526315,5.0,1,0.0002855025911069342,6.376487907364759,6.3765165547292115,-1.896437738822339,2.5897030181687146,-4.492647134350099,75.925,1.7038469803427188,39.639802815942595,0.0,5.216545568249446,10.0,ja,6.376568,10.7,75.9230,1.703825,39.638727,0.000000,5.216377
0,6,0.0,113.68421052631578,5.0,1,0.00034440996767112764,6.376336832353449,6.37649896661134,-25.588904030789816,-0.11868641879638572,-25.426841980940388,75.5945,1.6876026252257017,39.2259293207054,0.0,5.151639507677471,10.0,ja,6.376408,-14.4,75.5920,1.687592,39.224090,0.000000,5.151351
0,7,0.0,132.6315789473684,5.0,1,9.154032254432565e-10,6.376308111407138,6.37650020743901,-30.093090702319905,5.072960966240839e-10,-30.12562250018412,24.25,1.0119341931764956,21.44168635572745,0.0,2.3626105788014504,10.0,ja,6.376308,-30.1,24.2500,1.011932,21.441655,0.000000,2.362606
0,8,0.0,151.57894736842104,5.3,2,0.0008350485436773997,6.376628423140584,6.376575471151157,20.14006752656549,11.80763282599762,8.304240480986131,31.9235,0.784720409747778,22.28996655962193,0.0,2.4956428384885014,15.0,grenzwertig,6.376531,4.9,31.9200,0.784557,22.289914,0.000000,2.495635
0,9,0.0,170.52631578947367,5.0,4,0.00020300108674438377,6.376595962874858,6.376492336305375,15.049458928430354,-1.1866839322265756,16.25132431313519,45.4985,0.7645947900729805,23.55307870943384,0.0,2.6937314685852485,15.0,ja,6.376536,5.6,45.4990,0.764595,23.554526,0.000000,2.693959
0,10,0.0,189.4736842105263,40.0,-1,0.11922334540902856,6.374260210502744,6.374298157373249,-351.2568803038073,-345.29064882750305,-5.951050028291524,38.4505,0.6080450737807752,23.35733324428422,0.0,2.6630335206279647,11.2,nein,6.377318,128.3,38.1335,0.595602,23.301513,0.000000,2.654279
0,11,0.0,208.42105263157893,18.8,1,0.0008640506130500047,6.376087127579577,6.376487478218495,-64.74906616855013,-1.9919332060595205,-62.785327204243195,75.088,1.6580235023219834,38.49254295538512,0.0,5.0366255712985355,10.0,ja,6.333041,-6815.5,74.3490,1.671973,44.104352,0.000000,5.916702
0,12,0.0,227.36842105263156,5.0,1,0.00027047440795857636,6.376136694577362,6.37649472026397,-56.975679861882355,-0.8605308672971387,-56.14768079803941,75.4205,1.6753270479770728,38.93072357297345,0.0,5.105343616870297,10.0,ja,6.376433,-10.5,75.4150,1.675286,38.931531,0.000000,5.105470
0,13,0.0,246.3157894736842,40.0,-1,0.04117108123692756,6.376573238010384,6.376583185062394,11.485612857114692,13.088943327969238,-1.5599548356667412,43.733,0.6367669127670254,21.684692053011197,0.0,2.4007201525933026,10.0,grenzwertig,6.376512,1.9,43.6960,0.635628,21.798445,0.000000,2.418559
0,14,0.0,265.2631578947368,5.0,1,0.0005384904466257945,6.37650154262729,6.376500854282649,0.24192382796511394,0.12746721782175197,0.10795022988196204,75.9355,1.703870924770474,39.64703794149378,0.0,5.217680222926962,10.0,ja,6.376495,-0.8,75.9360,1.703880,39.648093,0.000000,5.217846
0,15,0.0,284.2105263157895,5.0,2,0.00025156459529729336,6.376295140554426,6.3765000636798055,-32.12725563792755,-0.007363687672988275,-32.13724227707765,76.131,1.7147967896587737,39.92420064088551,0.0,5.261146497433624,10.0,ja,6.376532,5.0,76.1285,1.714785,39.926153,0.000000,5.261453
