phi2_deg,phi3_deg,F_mean,F_skew,liftoff,F_max,F_min,peak_ratio
75.789,132.632,6.376501,1.689244,75.6615,39.269516,0.000000,5.158475
75.789,151.579,6.376303,0.660188,21.7000,17.508698,0.000000,1.745816
75.789,170.526,6.376706,0.655137,17.7000,17.520434,0.000000,1.747657
75.789,189.474,6.376568,0.425140,23.5000,17.008263,0.000000,1.667335
75.789,208.421,6.376693,0.200089,16.2500,15.206551,0.000000,1.384780
75.789,227.368,6.376735,-0.070845,20.1000,12.773725,0.000000,1.003250
75.789,246.316,6.376748,-0.051706,21.8500,14.227958,0.000000,1.231311
75.789,265.263,6.376265,0.345695,22.4000,15.915148,0.000000,1.495907
75.789,284.211,6.376303,0.660195,21.7000,17.508960,0.000000,1.745857
75.789,303.158,6.376618,0.737684,19.0000,18.408439,0.000000,1.886919
75.789,322.105,6.376273,1.700185,75.8590,39.547538,0.000000,5.202076
75.789,341.053,6.376760,1.708702,76.0180,39.765409,0.000000,5.236244
94.737,0.000,6.376562,1.703827,75.9245,39.639874,0.000000,5.216557
94.737,18.947,6.376611,1.708697,76.0190,39.763992,0.000000,5.236022
94.737,37.895,6.376701,1.711092,76.0650,39.827572,0.000000,5.245993
94.737,56.842,6.376247,1.711158,76.0670,39.833881,0.000000,5.246982
94.737,75.789,6.376475,1.708694,76.0205,39.770802,0.000000,5.237090
94.737,94.737,6.376740,1.703836,75.9315,39.639768,0.000000,5.216540
94.737,113.684,6.376677,1.696610,75.8050,39.466405,0.000000,5.189352
94.737,132.632,6.376257,1.687002,75.6325,39.220224,0.000000,5.150745
94.737,151.579,6.376723,0.534410,26.1300,19.461881,0.000000,2.052126
94.737,170.526,6.376737,0.346103,22.4000,15.917364,0.000000,1.496254
94.737,189.474,6.376320,0.216045,15.8500,14.641292,0.000000,1.296133
94.737,208.421,6.376500,0.100177,0.4500,12.995351,0.000000,1.038007
94.737,227.368,6.376500,-0.091852,0.0000,11.332133,0.753323,0.881287
94.737,246.316,6.376614,-0.287701,10.9500,12.415224,0.000000,0.947028
94.737,265.263,6.376317,0.216122,15.9000,14.642815,0.000000,1.296372
94.737,284.211,6.376706,0.655136,17.7000,17.520706,0.000000,1.747700
94.737,303.158,6.376729,0.866305,22.3500,20.083316,0.000000,2.149583
94.737,322.105,6.376277,0.961360,24.5500,21.308364,0.000000,2.341702
94.737,341.053,6.376701,1.695947,75.7605,39.437633,0.000000,5.184840
113.684,0.000,6.376633,1.687548,75.5875,39.227949,0.000000,5.151956
113.684,18.947,6.376349,1.695978,75.7645,39.436317,0.000000,5.184634
113.684,37.895,6.376423,1.700178,75.8600,39.548475,0.000000,5.202223
113.684,56.842,6.376502,1.701400,75.8895,39.579768,0.000000,5.207131
113.684,75.789,6.376557,1.700210,75.8705,39.548428,0.000000,5.202216
113.684,94.737,6.376483,1.696632,75.8050,39.465228,0.000000,5.189168
113.684,113.684,6.376674,1.690653,75.6985,39.308364,0.000000,5.164567
113.684,132.632,6.376494,1.682309,75.5455,39.104218,0.000000,5.132552
113.684,151.579,6.376751,0.697954,37.3210,24.363865,0.000000,2.820884
113.684,170.526,6.376652,0.159784,27.3805,16.631199,0.000000,1.608202
113.684,189.474,6.376252,-0.052087,21.9000,14.226228,0.000000,1.231040
113.684,208.421,6.376387,-0.287998,10.9500,12.414541,0.000000,0.946921
113.684,227.368,6.376500,-0.272972,0.0000,9.462188,2.882135,0.883047
113.684,246.316,6.376499,-0.272972,0.0000,9.462194,2.882114,0.883043
113.684,265.263,6.376500,0.100177,0.4500,12.995356,0.000000,1.038008
113.684,284.211,6.376567,0.425146,23.5000,17.008580,0.000000,1.667385
113.684,303.158,6.376849,0.705849,28.5500,19.299563,0.000000,2.026670
113.684,322.105,6.376790,0.901780,27.9500,20.846929,0.000000,2.269337
113.684,341.053,6.376335,1.011928,21.1000,21.789141,0.000000,2.417100
132.632,0.000,6.376308,1.011932,24.2500,21.441655,0.000000,2.362606
132.632,18.947,6.376664,1.011938,21.0500,21.789685,0.000000,2.417186
132.632,37.895,6.376450,0.961363,24.5500,21.309434,0.000000,2.341870
132.632,56.842,6.376312,1.688696,75.6325,39.251566,0.000000,5.155660
132.632,75.789,6.376666,1.689235,75.6610,39.270643,0.000000,5.158652
132.632,94.737,6.376568,1.686946,75.6320,39.218651,0.000000,5.150498
132.632,113.684,6.376228,1.682318,75.5460,39.101973,0.000000,5.132200
132.632,132.632,6.376356,1.675316,75.4190,38.924708,0.000000,5.104400
132.632,151.579,6.376019,1.665927,75.2395,38.703973,0.000000,5.069783
132.632,170.526,6.376253,0.639575,22.6000,19.368962,0.000000,2.037554
132.632,189.474,6.376699,-0.078807,26.7085,13.877269,0.000000,1.176314
132.632,208.421,6.376269,-0.071142,20.1000,12.770590,0.000000,1.002759
132.632,227.368,6.376500,-0.091857,0.0000,11.332326,0.753054,0.881279
132.632,246.316,6.376500,-0.272972,0.0000,9.462179,2.882126,0.883042
132.632,265.263,6.376500,-0.091873,0.0000,11.332046,0.753223,0.881256
132.632,284.211,6.376693,0.200076,16.2500,15.206654,0.000000,1.384796
132.632,303.158,6.376251,0.486448,21.7000,17.447321,0.000000,1.736191
132.632,322.105,6.376752,0.735900,24.4000,19.200462,0.000000,2.011129
132.632,341.053,6.376275,0.913675,25.3500,20.539941,0.000000,2.221194
151.579,0.000,6.376528,0.784558,31.9200,22.289807,0.000000,2.495618
151.579,18.947,6.376727,0.913611,25.3500,20.540339,0.000000,2.221256
151.579,37.895,6.376208,0.901704,28.0000,20.846489,0.000000,2.269268
151.579,56.842,6.376731,0.866287,22.4000,20.084312,0.000000,2.149739
151.579,75.789,6.376303,0.660188,21.7000,17.508698,0.000000,1.745816
151.579,94.737,6.376723,0.534410,26.1300,19.461881,0.000000,2.052126
151.579,113.684,6.377904,0.663291,36.1660,24.366180,0.000000,2.821247
151.579,132.632,6.376070,1.665919,75.2400,38.714663,0.000000,5.071460
151.579,151.579,6.376691,1.657990,75.0865,38.587152,0.000000,5.051463
151.579,170.526,6.369135,0.595249,37.5590,23.582831,0.000000,2.698397
151.579,189.474,6.376257,0.450203,24.8250,18.624018,0.000000,1.920727
151.579,208.421,6.376213,0.136382,24.9000,15.009015,0.000000,1.353801
