phi2,phi3,F_mean,F_skew,liftoff,F_max,F_min,asym,R
0.0,0.0,6.33700164765459,2.5773836402829438,78.38850000000001,86.54737594115586,0.0,12.57286535578387,3.0
0.0,51.42857142857143,6.376081707276383,1.6869818124451048,75.1735,41.968457373872404,0.0,5.581738786775253,2.737509672573767
0.0,102.85714285714286,6.376598409808507,1.706474159407058,75.964,39.71230225020072,0.0,5.227915353281693,2.027292841247841
0.0,154.28571428571428,6.3765,-2.3710412480821767e-15,0.0,11.584511908551553,1.1684880914483597,0.9999999999999829,1.1815771360306206
0.0,205.71428571428572,6.3765,-2.4635519204344884e-15,0.0,11.584515342204668,1.168484657795216,0.9999999999999774,1.1815771360306206
0.0,257.14285714285717,6.376368216591277,1.706508914770554,75.968,39.70684469692918,0.0,5.227059467878801,2.0272928412478413
0.0,308.57142857142856,6.376185306563882,1.6873164191934205,75.182,41.96163926923098,0.0,5.58066953175425,2.737509672573767
51.42857142857143,0.0,6.375875874415817,1.6870080860701664,75.175,41.96580268547227,0.0,5.581322463023957,2.737509672573767
51.42857142857143,51.42857142857143,6.3757303646148955,1.6870688698483438,75.1785,41.96511113412043,0.0,5.581214009898914,2.737509672573767
51.42857142857143,102.85714285714286,6.376482422514667,1.7185541996921139,76.17150000000001,40.285637190473636,0.0,5.317829089700248,2.246979603717467
51.42857142857143,154.28571428571428,6.3765,5.157604611318497e-16,0.0,12.6099025670262,0.14309743297378946,0.999999999999998,1.4142135623730951
51.42857142857143,205.71428571428572,6.3765,2.065528264146772e-15,0.0,9.91118555879375,2.8418144412061905,0.9999999999999828,0.8019377358048383
51.42857142857143,257.14285714285717,6.3765,1.0697568707825853e-15,0.0,12.609901187835172,0.14309881216467285,0.9999999999999748,1.4142135623730958
51.42857142857143,308.57142857142856,6.378559095905589,1.8702617576621836,72.6185,48.75429031608796,0.0,6.645932771283299,2.2469796037174667
102.85714285714286,0.0,6.376347286681024,1.7064937962299755,75.965,39.709851021204614,0.0,5.227530937223337,2.027292841247841
102.85714285714286,51.42857142857143,6.376198543688752,1.71855008919581,76.17,40.27988721850321,0.0,5.316927345487839,2.246979603717467
102.85714285714286,102.85714285714286,6.376695403224679,1.70646902409148,75.965,39.706868739458656,0.0,5.2270632383688,2.027292841247841
102.85714285714286,154.28571428571428,6.3765,-1.1220126670916102e-15,0.0,12.609901530440323,0.14309846955967198,0.999999999999999,1.4142135623730951
102.85714285714286,205.71428571428572,6.3765,-6.047212972070253e-15,0.0,8.822577798980175,3.9304222010198075,0.9999999999999922,0.5549581320873713
102.85714285714286,257.14285714285717,6.3765,-1.8437803829973666e-15,0.0,8.822578915390208,3.930421084609741,0.9999999999999784,0.554958132087372
102.85714285714286,308.57142857142856,6.3765,1.7010748652158236e-15,0.0,12.609896433958367,0.14310356604150476,0.999999999999979,1.414213562373095
154.28571428571428,0.0,6.3765,-2.43951371423263e-15,0.0,11.584511908551553,1.1684880914483602,0.9999999999999829,1.1815771360306206
154.28571428571428,51.42857142857143,6.3765,4.333407498801373e-16,0.0,12.609902567026202,0.14309743297378863,0.9999999999999981,1.4142135623730951
154.28571428571428,102.85714285714286,6.3765,-9.983831002140413e-16,0.0,12.609901530440316,0.14309846955967423,0.9999999999999981,1.4142135623730951
154.28571428571428,154.28571428571428,6.3765,-1.1123133596993804e-15,0.0,11.584513293437444,1.1684867065625977,1.0000000000000078,1.1815771360306206
154.28571428571428,205.71428571428572,6.3765,4.457253885293603e-15,0.0,9.911186444957304,2.8418135550427897,1.000000000000026,0.8019377358048382
154.28571428571428,257.14285714285717,6.3765,6.947132472637853e-16,0.0,8.822576441462777,3.930423558537225,1.0000000000000002,0.554958132087371
154.28571428571428,308.57142857142856,6.3765,-1.0799462497823602e-15,0.0,9.911186619162347,2.8418133808375696,0.9999999999999759,0.8019377358048382
205.71428571428572,0.0,6.3765,-2.337533445498011e-15,0.0,11.584515342204668,1.1684846577952148,0.9999999999999771,1.1815771360306206
205.71428571428572,51.42857142857143,6.3765,2.1563975278825014e-15,0.0,9.91118555879375,2.841814441206185,0.9999999999999812,0.8019377358048383
205.71428571428572,102.85714285714286,6.3765,-6.760821013535306e-15,0.0,8.822577798980177,3.930422201019807,0.9999999999999928,0.5549581320873713
205.71428571428572,154.28571428571428,6.3765,4.454923904172174e-15,0.0,9.911186444957304,2.8418135550427897,1.000000000000026,0.8019377358048382
205.71428571428572,205.71428571428572,6.3765,1.1749583819221856e-15,0.0,11.58451154623058,1.1684884537694413,1.0000000000000038,1.1815771360306204
205.71428571428572,257.14285714285717,6.3765,-7.171364566644178e-16,0.0,12.609903750257685,0.14309624974231228,0.9999999999999991,1.4142135623730951
205.71428571428572,308.57142857142856,6.3765,1.618655153964109e-15,0.0,12.60989847725387,0.14310152274609883,0.9999999999999946,1.414213562373095
257.14285714285717,0.0,6.376807932680191,1.7064555306897604,75.96300000000001,39.704567539482326,0.0,5.22670235073823,2.0272928412478413
257.14285714285717,51.42857142857143,6.3765,1.1037443805771074e-15,0.0,12.609901187835172,0.14309881216467224,0.9999999999999748,1.4142135623730958
257.14285714285717,102.85714285714286,6.3765,-2.0845791556099877e-15,0.0,8.822578915390206,3.9304210846097414,0.9999999999999778,0.554958132087372
257.14285714285717,154.28571428571428,6.3765,5.224630303584065e-16,0.0,8.822576441462774,3.9304235585372256,0.9999999999999989,0.554958132087371
257.14285714285717,205.71428571428572,6.3765,-6.980184824049991e-16,0.0,12.609903750257686,0.14309624974231228,0.9999999999999994,1.4142135623730951
257.14285714285717,257.14285714285717,6.376627272707735,1.7064537081439088,75.961,39.70788948881138,0.0,5.2272233182484715,2.0272928412478413
257.14285714285717,308.57142857142856,6.318607298252144,1.8801969557367162,72.7565,48.7485879985168,0.0,6.645038500512317,2.2469796037174676
308.57142857142856,0.0,6.376242372214864,1.6872964268767685,75.1805,41.96163927205256,0.0,5.5806695321967466,2.737509672573767
308.57142857142856,51.42857142857143,6.378713301480233,1.8702126057868917,72.61800000000001,48.74916731909558,0.0,6.645129352951551,2.2469796037174667
308.57142857142856,102.85714285714286,6.3765,1.7231667465822628e-15,0.0,12.609896433958372,0.14310356604150393,0.9999999999999799,1.414213562373095
